Title,URL,Location,Price,Bedrooms,Type,County
5 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3737809,Westlands Runda,130000000,5,House,Nairobi
5 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3737805,Westlands Runda,250000000,5,House,Nairobi
4 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3737803,Westlands Runda,150000000,4,House,Nairobi
4 Bed House with Staff Quarters in Gigiri,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-gigiri-3737789,Westlands Gigiri,85000000,4,House,Nairobi
5 Bed Townhouse with En Suite at Chalbi Drive,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3737776,Lavington,350000,5,Townhouse,Nairobi
3 Bed House with En Suite in Riverside,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-riverside-3737783,Westlands Riverside,20000000,3,House,Nairobi
4 Bed Townhouse with En Suite at Spring Valley Estate,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-spring-valley-3737730,Westlands Spring Valley,97000000,4,Townhouse,Nairobi
5 Bed House with Gym at New Kitisuru,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kitisuru-3737724,Westlands Kitisuru,75000000,5,House,Nairobi
5 Bed House at Kitisuru Road,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kitisuru-3737718,Westlands Kitisuru,140000000,5,House,Nairobi
5 Bed House at Thigiri Ridge,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-thigiri-3737713,Westlands Thigiri,165000000,5,House,Nairobi
4 Bed Townhouse at Kitisuru,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kitisuru-3737697,Westlands Kitisuru,26000000,4,Townhouse,Nairobi
4 Bed House in Kitisuru,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitisuru-3617107,Westlands Kitisuru,300000000,4,House,Nairobi
6 Bed Townhouse with En Suite in Muthaiga,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-muthaiga-3695755,Muthaiga,320000000,6,Townhouse,Nairobi
5 Bed Townhouse with En Suite in Karen,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-karen-3678019,Karen,80000000,5,Townhouse,Nairobi
4 Bed Villa with En Suite at Diani Beach Road,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-diani-3660913,Diani,19999000,4,Villa,Kwale County
5 Bed House in Westlands Area,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-westlands-area-3721100,Westlands Area,125000000,5,House,Nairobi
5 Bed House with En Suite in Gigiri,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-gigiri-3721638,Westlands Gigiri,280000000,5,House,Nairobi
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3692571,Lavington,95000000,5,Townhouse,Nairobi
4 Bed Villa at Diani Beach Road,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-diani-3730409,Diani,34500000,4,Villa,Kwale County
4 Bed Townhouse with En Suite at Lavington Estate,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3737599,Lavington,60000000,4,Townhouse,Nairobi
3 Bed Townhouse with En Suite at Galu Kinondo,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-diani-3737569,Diani,15000000,3,Townhouse,Kwale County
3 Bed Townhouse with En Suite in Westlands Area,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-westlands-area-3723267,Westlands Area,48000000,3,Townhouse,Nairobi
4 Bed Townhouse with En Suite in Kitengela,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kitengela-3704313,Kitengela,8000000,4,Townhouse,Kajiado County
3 Bed House with En Suite in Kitengela,https://www.buyrentkenya.com/listings/furnished-3-bedroom-house-for-sale-kitengela-3704318,Kitengela,6500000,3,House,Kajiado County
5 Bed House with En Suite at Kamakis,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-eastern-bypass-3737560,Ruiru Eastern ByPass,18500000,5,House,Kiambu County
2 Bed House with Alarm in Kilimani,https://www.buyrentkenya.com/listings/2-bedroom-house-for-sale-kilimani-3737547,Kilimani,5000000,2,House,Nairobi
5 Bed Villa with En Suite in Diani,https://www.buyrentkenya.com/listings/furnished-5-bedroom-villa-for-sale-diani-3646588,Diani,53000000,5,Villa,Kwale County
4 Bed Townhouse with En Suite in Runda,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3687459,Westlands Runda,150000000,4,Townhouse,Nairobi
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3717491,Lavington,50000000,5,Townhouse,Nairobi
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3642755,Lavington,65000000,5,Townhouse,Nairobi
5 Bed House with En Suite at East Church Road,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-westlands-area-3676754,Westlands Area,41500000,5,House,Nairobi
4 Bed House with En Suite in Kitisuru,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitisuru-3737466,Westlands Kitisuru,65000000,4,House,Nairobi
6 Bed Villa in Kiambu Road,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-kiambu-road-3737411,Kiambu Road,140000000,6,Villa,Nairobi
4 Bed House with En Suite in Redhill,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-red-hill-3737401,Redhill,33000000,4,House,Kiambu County
4 Bed Townhouse with En Suite at Five Star Road,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-south-c-9-3561720,South C,23000000,4,Townhouse,Nairobi
4 Bed House with Swimming Pool in Lamu,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lamu-7-3432028,lamu,25000002,4,House,Lamu
